raw,author,content,author_action,collaborate
Bon Prasertsuwan  · 17 ชม.=====================  · ถามตรงๆ เลยละกัน พี่ ๆ ที่เป็นโปรแกรเมอร์ปกตินอนวันละกี่ชั่วโมงครับ113ความคิดเห็น 116 รายการถูกใจแสดงความคิดเห็นแชร์ความคิดเห็นดูความคิดเห็นก่อนหน้าวรากร เลิศวัฒนพงศ์วันธรรมดา 4-6 ครับ ถ้าได้หยุดก็ 10+ · แชร์ · 51 นาทีจิตรกร ปั้นเขานอนกันด้วยหรอครับ  พึ่งรู้2 · แชร์ · 13 นาที,Bon Prasertsuwan,ถามตรงๆ เลยละกัน พี่ ๆ ที่เป็นโปรแกรเมอร์ปกตินอนวันละกี่ชั่วโมงครับ,Bon Prasertsuwan,"113
ความคิดเห็น 116 รายการ"
เจเจ โมดิฟาย  · ========2 ชม.==========  · พี่ๆคนไหนมีปัญหาครอบครัวเพราะ..เขียนโค๊ตหรือป่าวครับ????????พี่ๆคนไหนมีปัญหาครอบครัวเพราะ..เขียนโค๊ตหรือป่าวครับ????????21 ความคิดเห็นถูกใจแสดงความคิดเห็นแชร์ความคิดเห็นBaze TheCreatorไม่เคยครับ ครอบครัวสนับสนุนในสิ่งที่ผมเลือกเสมอแต่ถ้าผมเจอ สิ่งที่จะทำต่อไปก็คงเป็นการพิสูจน์ตัวเอง หาเหตุผล และผลลัพธ์ที่จับต้องและมองเห็นได้ มารองรับเส้นทางที่เราเลือก โดยเริ่มจากเป้าหมายเล็ก ๆ ก่อนก็ได้... ดูเพิ่มเติม · แชร์ · 4 นาที,เจเจ โมดิฟาย,พี่ๆคนไหนมีปัญหาครอบครัวเพราะ..เขียนโค๊ตหรือป่าวครับ????????พี่ๆคนไหนมีปัญหาครอบครัวเพราะ..เขียนโค๊ตหรือป่าวครับ????????,เจเจ โมดิฟาย,"2
1 ความคิดเห็น"
Off Jaturapat  · ========1 ชม.==========  · ตัวอย่างโค้ด AI (ปัญญาประดิษฐ์)สำหรับงาน machine learning + deep learning โดยเฉพาะ.แต่เนื่องจากการเซทอัพโปรเจคในเครื่องตัวเองมันแสนยุ่งยาก เวอร์ชั่นไลบรารี่เปลี่ยนทีชีวิตเปลี่ยน... ดูเพิ่มเติม135ความคิดเห็น 5 รายการแชร์ 250 ครั้งถูกใจแสดงความคิดเห็นแชร์ความคิดเห็นดูอีก 3 ความคิดเห็นสิริรัตน์ บำเพ็ญบุณย์ขอบคุณมากค่ะ กำลังศึกษา · แชร์ · 6 นาทีWatcharaphol Jumpathongได้ของแรร์เลยทีนี้...ขอบคุณครับ · แชร์ · 4 นาที,Off Jaturapat,"ตัวอย่างโค้ด AI (ปัญญาประดิษฐ์)
สำหรับงาน machine learning + deep learning โดยเฉพาะ
.
แต่เนื่องจากการเซทอัพโปรเจคในเครื่องตัวเอง
มันแสนยุ่งยาก เวอร์ชั่นไลบรารี่เปลี่ยนทีชีวิตเปลี่ยน... ดูเพิ่มเติม",Off Jaturapat,"135
ความคิดเห็น 5 รายการ
แชร์ 250 ครั้ง"
Nipa Chamyuang  · =2 ชม.=================  · มีใครพอจะรู้ไหมคะ ว่า SCB แก้ปัญหา SMS Phishing ยังไงบ้าง12ความคิดเห็น 5 รายการถูกใจแสดงความคิดเห็นแชร์ความคิดเห็นณัฐพงษ์ เชิดสุพรรณ์เค้าแก้แล้วครับ แก้จาก เบอร์ ที่ เข้ารหัส ตอนส่งไป เพิ่ม device id2 · แชร์ · 1 ชม.การตอบกลับ 2 รายการกันเนอร์ แคร็กเกอร์แก้ไม่หายครับ ล่าสุดมีโดนกันอีกแล้ว · แชร์ · 18 นาทีการตอบกลับ 1 รายการ,Nipa Chamyuang,มีใครพอจะรู้ไหมคะ ว่า SCB แก้ปัญหา SMS Phishing ยังไงบ้าง,Nipa Chamyuang,"12
ความคิดเห็น 5 รายการ"
"Abhichat Wankaew  · =2 ชม.=================  · ถามผู้รู้ flutter ครับเจอแบบนี้ไปยังไงต่อครับทำตามขั้นตอนทุกอย่าง แต่หมอยังหา flutter ไม่เจอ2ความคิดเห็น 5 รายการถูกใจแสดงความคิดเห็นแชร์ความคิดเห็นดูอีก 2 ความคิดเห็นด.ช.ธนาธิป สีมูลคำของผมใช้อยู่ก็เป็นครับ แต่ build ได้ ก็ปล่อยมันแบบนั้นแหละ · แชร์ · 1 ชม.ดั๊บเบิ้ลคลิก คอมพิวเตอร์flutter channel devflutter upgradeflutter config --android-studio-dir=""C:\Program Files\Android\Android Studio""... ดูเพิ่มเติม · แชร์ · 19 นาที",,"ถามผู้รู้ flutter ครับ
เจอแบบนี้ไปยังไงต่อครับ
ทำตามขั้นตอนทุกอย่าง แต่หมอยังหา flutter ไม่เจอ",Abhichat Wankaew,"2
ความคิดเห็น 5 รายการ"
วันมงคล พานิชกุล  · ========17 ชม.============  · สถาบันมีผลกับการรับสมัครงานของสายนี้ไหมครับ จะเรียนราชภัฏใกล้บ้านหรือไปในกรุงเทพดี155ความคิดเห็น 112 รายการแชร์ 2 ครั้งถูกใจแสดงความคิดเห็นแชร์ความคิดเห็นดูความคิดเห็นก่อนหน้าKaran Sivaratถ้าเรื่องสมัครงานก็มีผลบ้างกับองค์กรใหญ่ ๆ ครับ แต่การเลือกที่เรียนสำหรับผมมีผลกับความรู้ ความสามารถของเราที่จะจบออกจากมหาวิทยาลัยครับ (เมื่อเก่งแล้วการหางานก็อาจจะตามมาเอง)- ที่ว่ามีผลเนี่ยไม่ได้มีกับมหาวิทยาลัยโดยตรง มหาวิทยาลัยให้แค่สิ่งอำนวยความส... ดูเพิ่มเติม1 · แชร์ · 31 นาที · แก้ไขแล้วThitipong Smrvntมีคนเคยบอกว่าแค่ ทำได้ กับทำไม่ได้ ...เรื่องอื่นๆทั้งหมดเป็นเรื่องรองๆลงมา... ดูเพิ่มเติม · แชร์ · 26 นาที · แก้ไขแล้ว,วันมงคล พานิชกุล,สถาบันมีผลกับการรับสมัครงานของสายนี้ไหมครับ จะเรียนราชภัฏใกล้บ้านหรือไปในกรุงเทพดี,วันมงคล พานิชกุล,"155
ความคิดเห็น 112 รายการ
แชร์ 2 ครั้ง"
Preedarut Wat  · ==============2 ชม.====  · frontend ควรเริ่มเรียนรู้อะไรก่อนดีคะ27ความคิดเห็น 15 รายการแชร์ 1 ครั้งถูกใจแสดงความคิดเห็นแชร์ความคิดเห็นดูอีก 10 ความคิดเห็นKit Prasobchokแนะนำ แชลเนล Zinglecode ครับสอนพื้นฐานฟรีตั้งแต่เริ่มต้นครับผมhttps://www.youtube.com/channel/UCt9JGLXSp5EMfe99djsvmiw... ดูเพิ่มเติมYOUTUBE.COMZinglecode - YouTubeZinglecode - YouTube · แชร์ · 1 ชม.Rawin NgamloetHTML / CSS ครับJavascript พื้นฐานแล้วก็เลือกเอาเลย React / Angular / Bue · แชร์ · 1 ชม.,Preedarut Wat,frontend ควรเริ่มเรียนรู้อะไรก่อนดีคะ,Preedarut Wat,"27
ความคิดเห็น 15 รายการ
แชร์ 1 ครั้ง"
Rawin Ngamloet ได้แชร์ลิงก์  · =38 นาที=============================  · ฝากด้วยนะครับ ใครมีปัญหาปรึกษาเรื่อง Docker ได้ครับเรียน Docker 101 : มาสร้าง Dockerfile กันเถอะ #Justaprogrammingclassroom #เรียนdocker101youtube.comเรียน Docker 101 : EP.3 สร้าง Dockerfile กันเถอะวีดีโอสอนการใช้งาน Docker สำหรับผู้รักเรียนรู้ทุกท่านครับ โดยในตอนนี้จะเน้นถึงเรื่องของการสร้าง Dockerfile สำหรับ bu...43ความคิดเห็น 3 รายการแชร์ 35 ครั้งถูกใจแสดงความคิดเห็นแชร์ความคิดเห็นดูความคิดเห็นอีก 1 รายการChumrod Witsanu · แชร์ · 1 ชม.Rawin Ngamloetขอบคุณครับหยุด GIF ชั่วคราวGIPHY · แชร์ · 32 นาที,Rawin Ngamloet,"ฝากด้วยนะครับ ใครมีปัญหาปรึกษาเรื่อง Docker ได้ครับ
เรียน Docker 101 : มาสร้าง Dockerfile กันเถอะ #Justaprogrammingclassroom #เรียนdocker101",Rawin Ngamloet ได้แชร์ลิงก์,"43
ความคิดเห็น 3 รายการ
แชร์ 35 ครั้ง"
Off Jaturapat ได้แชร์ลิงก์  · =38 นาที=============================  · หนังสือฟรีสายคอมอ่านกันฟรีๆpatanasongsivilai.comแจกหนังสือฟรีสายคอมหลายเล่มช่วงโควิด 19 หลายคนคงกำลังอยู่บ้าน workfrom home หรือกำ…ถูกใจแสดงความคิดเห็นแชร์ความคิดเห็น,Off Jaturapat,หนังสือฟรีสายคอมอ่านกันฟรีๆ,Off Jaturapat ได้แชร์ลิงก์,"ถูกใจ
แสดงความคิดเห็น
แชร์"
กวิน สายอุบล  · ========================38 นาที======  · แอพเป๋าตังมีAPI มั้ยครับ?ถูกใจแสดงความคิดเห็นแชร์ความคิดเห็น,กวิน สายอุบล,แอพเป๋าตังมีAPI มั้ยครับ?,กวิน สายอุบล,"ถูกใจ
แสดงความคิดเห็น
แชร์"
"Arkom Thaicharoen ได้แชร์โพสต์  · ==2 ชม.================  · BorntoDev  · =======================================================14 มกราคม เวลา 22:00 น.===================================  ·  ""ไม่ได้จบสายไอที คอมพิวเตอร์มาตรง ๆ แต่อยากเป็น โปรแกรมเมอร์ ทำยังไงดีครับบบบบ !?"".มีคำถามแบบนี้ในใจไม่ต้องกังวล เพราะ ไม่มีใครแก่เกินเรียนแน่นอน โดยในวันน... ดูเพิ่มเติม781 ความคิดเห็นแชร์ 54 ครั้งถูกใจแสดงความคิดเห็นแชร์ความคิดเห็นKaitoon SooksonchaiBeau Krittaya Chato1 · แชร์ · 43 นาที",Arkom Thaicharoen,"BorntoDev  · =======================================================14 มกราคม เวลา 22:00 น.===================================  ·  ""ไม่ได้จบสายไอที คอมพิวเตอร์มาตรง ๆ แต่อยากเป็น โปรแกรมเมอร์ ทำยังไงดีครับบบบบ !?"".มีคำถามแบบนี้ในใจไม่ต้องกังวล เพราะ ไม่มีใครแก่เกินเรียนแน่นอน โดยในวันน... ดูเพิ่มเติม",Arkom Thaicharoen ได้แชร์โพสต์,"78
1 ความคิดเห็น
แชร์ 54 ครั้ง"
